25 Toa Payoh Lorong 8,"Central, North & North East",Daily: $1.30 / 30 Mins,-,-,-,1.338624,103.860923
45 Burghley Drive,"Central, North & North East",$0.018 /min,$0.018 /min,$0.018 /min,$0.018 /min,1.3563851,103.8654055
Ang Mo Kio Hub,"Central, North & North East",Mon-Fri: $1.20 for 1st hr; $0.60 for sub. ½ hr or part thereof.,-,"Sat, Sun / Ph: $1.30 for 1st hr; $0.65 for sub. ½ hr or part thereof.",Same as Saturday,1.36943465,103.848333979347
Balestier Plaza,"Central, North & North East",Daily: $1.12 per hr,-,-,-,1.32572925,103.850382389479
Balestier Point,"Central, North & North East",8am-10pm: $1.20 per hr,Aft 10pm: $2 per entry,Same as wkdays,$2 per entry,1.3223448,103.8521323
Bras Basah Complex,"Central, North & North East",7am-5pm: $1 for ½ hr,5pm-1am: $0.50 for ½ hr,Same as wkdays,7am-1am: $0.50 for ½ hr,1.29690595,103.853544766605
Causeway Point,"Central, North & North East",7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub.½ hr or part thereof.,7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,7am-12 midnight: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,Same as Saturday,1.43610095,103.786094850299
Central Place,"Central, North & North East",$1.80 for 1st hr; $0.85 for ½ hr,$1.80 for 1st hr; $0.85 for ½ hr,$1.80 for 1st hr; $0.85 for ½ hr,$2.50 per entry,1.2904753,103.8520359
City Square Mall,"Central, North & North East",7am-6pm: $1.20 for 1st hr; $0.60 for sub. 30 mins or part thereof.,6pm-3.30am: $3 per entry.,7am-6pm: $1.40 for 1st hr; $0.70 for sub. 30 mins; 6pm-3.30am: $3.50 per entry.,Same as Saturday,1.3112429,103.856577218363
Compass Point,"Central, North & North East",Daily(7am-11pm): $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,-,-,-,1.3242594,103.839338127799
Goldhill Plaza,"Central, North & North East",7am-5.30pm: $1.60 for 1st hr; $1 for sub. ½ hr,5.30pm-12am: $2 per entry,7am-5.30pm: $1 per hr; Aft 5.30pm: $2 per entry,Same as Saturday,1.3177405,103.8432879
Heartland Mall,"Central, North & North East",7am-10.30pm: $1 per hr,Aft 10.30pm: $2 per hr,Same as wkdays,Same as wkdays,1.3596301,103.885225879812
Hindoo Road Off-Street,"Central, North & North East",Daily: 0700-0700: $0.50 / 30 mins (Per Minute Charging),-,-,-,1.3084883,103.8539658
Hougang Green Shopping Mall,"Central, North & North East",7am-5pm: $1.07 for 1st hr; $0.55 for sub. ½ hr,Aft 5pm: $1.20 per entry,Same as wkdays,7am-12am: $2.15 per entry; Aft 12am: $1.20 per entry,1.3791215,103.887841929741
Hougang Mall,"Central, North & North East",1st hr: $1.20;  2nd hr: $0.70 per ½ hr; 3rd hr onwards: $1 per ½ hr,1st hr: $1.20;  2nd hr: $0.70 per ½ hr; 3rd hr onwards: $1 per ½ hr,1st hr: $1.30;  2nd hr: $0.70 per ½ hr; 3rd hr onwards: $1 per ½ hr,Same as Saturday,1.3725735,103.89378785747
Hougang Plaza,"Central, North & North East",5am-5pm: $0.40 for ½ hr,Aft 5pm: $1.50 per entry,Same as wkdays,$1.50 per entry,1.3700979,103.895296
Junction 8 Shopping Centre,"Central, North & North East",12am-5.59pm - $1.07 for 1st hr; $0.32 for sub. 15 mins,Mon-Thu: 6pm-11.59pm: $2.14 per entry; Fri/Eve of PH: 6pm-2.59am: $2.14 per entry,3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15 mins; 6pm-2.59am: $2.14 per entry,3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15 mins; 6pm-11.59pm: $2.14 per entry,1.298199,103.844083
Kampong Bugis Off-Street,"Central, North & North East",Daily: 0700-0700: $0.50 /30 mins (Per Minute Charging),-,-,-,1.3070333,103.8662392
Kampong Kapor Road Off-Street,"Central, North & North East",Daily: 0700-0700: $0.50 /30 mins (Per Minute Charging),-,-,-,1.3091313,103.8554937
Mustafa Centre,"Central, North & North East",Daily: 1st hr: Free; $2 for sub. hr,-,-,-,1.3101243,103.8553164
Nex Mall,"Central, North & North East",Mon-Fri: $1.30 for 1st hr; $0.65 for sub. ½ hr,-,"Sat, Sun / Ph: $1.40 for 1st hr; $0.70 for sub. ½ hr",Same as Saturday,1.3504507,103.872244725768
Northpoint Shopping Centre,"Central, North & North East",Daily: $1.20 for 1st hr or part thereof; $0.80 for sub. ½ hr or part thereof.,-,-,-,1.4299239,103.8359914
Parliament House,"Central, North & North East",8.01am-6pm: $1.13 per ½ hr (per min basis),6.01pm-8am: $2.06 per entry,Same as wkdays,$2.06 per entry,1.28866955,103.851099037208
Ramada Hotel,"Central, North & North East",6am-6pm: $1.60 per hr,Aft 6pm: $2.20 per entry,Same as wkdays,Same as wkdays,1.327225,103.846493
Rivervale Mall,"Central, North & North East","Daily: $1.28 for 1st hr, $0.64 for sub. 30 mins or part thereof.",-,-,-,1.392278,103.904367862047
Sembawang Shopping Centre,"Central, North & North East",12am-11.59pm: $1.20 for 1st hr; $0.32 for sub. 15 mins,$1.20 for 1st hr; $0.30 for sub. 15 mins,Same as wkdays,Same as wkdays,1.44174255,103.824875309819
Shaw Plaza,"Central, North & North East",8am-5pm: $1.04 for 1st hr; $0.53 for sub. ½ hr,Aft 5pm: $1.55 per entry,Same as wkdays,Same as wkdays,1.3247817,103.851332694861
Shrewsbury Road Off-Street,"Central, North & North East","Daily, 0700-0700: $0.50 /30 mins (Per Minute Charging)",-,-,-,1.3181362,103.8476727
Square 2,"Central, North & North East",7am-6pm: $1.60 for 1st hr; $0.80 for sub. ½ hr,Aft 6pm: $2.20 per entry,Same as wkdays,$2.20 for 1st 4hrs; $1.10 for sub. ½ hr; Aft 6pm: $2.20 per entry,1.3207487,103.844163672977
Sun Plaza,"Central, North & North East",7am-5pm: $1.20 for 1st hr; $0.65 for sub. ½ hr,5pm-11pm: $2.20 per entry; Aft 11pm: $3.30 per entry,Same as wkdays,Same as wkdays,1.44815185,103.819502889986
The Verge,"Central, North & North East",7am-5pm: $1.60 per hr,5pm-12am: $2.50 per entry; Aft 12am: $1.30 per hr,Same as wkdays,7am-12am: $2.50 per entry; Aft 12am: $2 per hr,1.2929,103.8529
Thomson Plaza,"Central, North & North East",7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,7am-12am: $1 for 1st hr; $0.60 for sub. ½ hr,7am-11am & 4pm-12am: $1.20 for 1st hr; $0.70 for sub. ½ hr; 11am-4pm: $1.20 for 1st hr; $1 for sub. ½ hr,Same as Saturday,1.3546534,103.831072972866
Toa Payoh HDB Hub,"Central, North & North East",7am-6pm: $0.50 per ½ hr,6pm-1am: $1 per entry; Aft 10.30pm: $2 per entry,Same as wkdays,7am-1am: $1 per entry; Aft 10.30pm: $2 per entry,1.334193,103.847657
