CarPark,Category,Saturday_Rate,Sunday_PublicHoliday_Rate,WeekDays_Rate_1,WeekDays_Rate_2,_id,address,car_park_basement,car_park_decks,car_park_no,car_park_type,coordinates,free_parking,gantry_height,geometries,lat,lon,name,night_parking,parkingSystem,ppCode,ppName,rate,rateRange,schedules,short_term_parking,source,type,type_of_parking_system,x_coord,y_coord
,,,,,,1611,BLK 747/752 YISHUN STREET 72,N,0,Y9,SURFACE CAR PARK,"[103.83401223253604, 1.4278302468527002]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28077.2305,45507.8047
,,,,,,1610,"BLK 731/746 YISHUN STREET 71,72/AVENUE 5",N,0,Y8,SURFACE CAR PARK,"[103.83127773707048, 1.4294442524027169]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27772.9219,45686.2734
,,,,,,1609,BLK 468 YISHUN ST 43,N,4,Y78M,MULTI-STOREY CAR PARK,"[103.8518042513747, 1.4247433733347608]",NO,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,30057.2209,45166.4820
,,,,,,1608,BLK 461 YISHUN AVENUE 6,N,10,Y77M,MULTI-STOREY CAR PARK,"[103.84994357684783, 1.4284470332223747]",NO,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29850.1522,45576.0125
,,,,,,1607,BLOCK 676 YISHUN RING ROAD,N,14,Y76M,MULTI-STOREY CAR PARK,"[103.84176923640506, 1.4216632358972499]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28940.4724,44825.8894
,,,,,,1606,BLOCK 674 YISHUN AVENUE 4,N,13,Y75M,MULTI-STOREY CAR PARK,"[103.84308320870863, 1.4201757347894195]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29086.6991,44661.4096
,,,,,,1605,BLOCK 673 YISHUN AVENUE 4,N,14,Y74M,MULTI-STOREY CAR PARK,"[103.84168989706856, 1.4196270699431162]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28931.6439,44600.7404
,,,,,,1604,BLOCK 671 YISHUN AVENUE 4,N,14,Y73M,MULTI-STOREY CAR PARK,"[103.8415626074657, 1.4191345429725588]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28917.4786,44546.2792
,,,,,,1603,512 YISHUN STREET 51,N,14,Y72M,MULTI-STOREY CAR PARK,"[103.8412468051513, 1.4147856976689364]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28882.3360,44065.4057
,,,,,,1602,BLK 501 YISHUN ST 51,N,7,Y71M,MULTI-STOREY CAR PARK,"[103.84090767331276, 1.4165790931697901]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28844.5948,44263.7102
,,,,,,1601,BLK 506 YISHUN AVE 4,N,16,Y70M,MULTI-STOREY CAR PARK,"[103.84035147717205, 1.4148591539111117]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28782.6987,44073.5278
,,,,,,1600,BLK 701/716 & 701B YISHUN AVENUE 5,N,0,Y7,SURFACE CAR PARK,"[103.82745020968218, 1.4273011512658973]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27346.9746,45449.3008
,,,,,,1599,BLOCK 513 YISHUN STREET 51,N,6,Y69M,MULTI-STOREY CAR PARK,"[103.8440804261116, 1.41601445902621]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29197.6771,44201.2772
,,,,,,1598,BLK 504 YISHUN ST 51,N,7,Y68M,MULTI-STOREY CAR PARK,"[103.8445955809507, 1.4183958303118906]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29255.0052,44464.5975
,,,,,,1597,"BLKS 504A, 504B, 504C, 504D YISHUN ST 51",N,0,Y68L,SURFACE CAR PARK,"[103.84358496682866, 1.4177604687541712]",NO,4.50,,,,,NO,,,,,,,NO,,Point,ELECTRONIC PARKING,29142.5387,44394.3419
,,,,,,1596,"269A, 269B YISHUN ST 22",N,0,Y67,SURFACE CAR PARK,"[103.84089522538783, 1.4364621300364289]",NO,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,COUPON PARKING,28843.2023,46462.2763
,,,,,,1595,BLK 317 YISHUN AVE 9,N,6,Y66M,MULTI-STOREY CAR PARK,"[103.84228792512894, 1.4337643309756953]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28998.1897,46163.9678
,,,,,,1594,BLK 315 YISHUN AVE 9,N,6,Y65M,MULTI-STOREY CAR PARK,"[103.84202223798827, 1.4326681544702302]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28968.6232,46042.7580
,,,,,,1593,BLK 334 YISHUN ST 31,N,6,Y64M,MULTI-STOREY CAR PARK,"[103.84513219732985, 1.4324874657779352]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29314.7149,46022.7799
,,,,,,1592,BLK 333 YISHUN ST 31,N,6,Y63M,MULTI-STOREY CAR PARK,"[103.84502536458832, 1.4316455461491961]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29302.8265,45929.6846
,,,,,,1591,BLOCK 342 YISHUN RING ROAD,Y,1,Y62M,BASEMENT CAR PARK,"[103.84444657174043, 1.4302482463872332]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29238.4163,45775.1779
,,,,,,1590,BLK 431 YISHUN AVE 1,N,6,Y61M,MULTI-STOREY CAR PARK,"[103.84758790802697, 1.4200872798387854]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29588.0070,44651.6313
,,,,,,1589,BLK 430 YISHUN AVE 11,N,6,Y60M,MULTI-STOREY CAR PARK,"[103.84811914547437, 1.4211366487611314]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29647.1253,44767.6656
,,,,,,1588,BLK 150/161 YISHUN STREET 11,N,0,Y6,SURFACE CAR PARK,"[103.83419379488392, 1.432522375685484]",SUN & PH FR 7AM-10.30PM,0.00,,,,,NO,,,,,,,7AM-10.30PM,,Point,ELECTRONIC PARKING,28097.4355,46026.6367
,,,,,,1587,BLK 429 YISHUN AVE 11,N,6,Y59M,MULTI-STOREY CAR PARK,"[103.84917559649482, 1.422273080703614]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29764.6921,44893.3273
,,,,,,1586,162 YISHUN STREET 11,N,0,Y58,SURFACE CAR PARK,"[103.8323821722556, 1.43253858184899]",NO,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,27895.8292,46028.4287
,,,,,,1585,BLK 415/417 YISHUN RING ROAD/AVENUE 11,N,0,Y57,SURFACE CAR PARK,"[103.84644671073723, 1.4239913964824005]",NO,4.50,,,,,NO,,,,,,,7AM-7PM,,Point,ELECTRONIC PARKING,29461.0058,45083.3281
,,,,,,1584,"BLK 926/932,934/935 YISHUN CENTRAL 1",N,0,Y56,SURFACE CAR PARK,"[103.83676244840743, 1.4254490824077795]",NO,2.50,,,,,NO,,,,,,,7AM-10.30PM,,Point,ELECTRONIC PARKING,28383.2891,45244.5078
,,,,,,1583,BLK 925 YISHUN CENTRAL 1,N,5,Y54M,MULTI-STOREY CAR PARK,"[103.83703502204177, 1.4273112268342905]",NO,1.80,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28413.6222,45450.4144
,,,,,,1582,BLK 426 YISHUN AVE 11,N,6,Y53M,MULTI-STOREY CAR PARK,"[103.8460160641916, 1.4229233334426428]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29413.0818,44965.2268
,,,,,,1581,BLK 456A YISHUN ST 41,N,12,Y52M,MULTI-STOREY CAR PARK,"[103.84491997742371, 1.4203097710727475]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29291.1048,44676.2316
,,,,,,1580,BLK 441 YISHUN AVE 11,N,6,Y51M,MULTI-STOREY CAR PARK,"[103.84556885361594, 1.4227424839020097]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29363.3139,44945.2291
,,,,,,1579,"BLK 423/427, 433/440 YISHUN AVE 6/AVE 11",N,0,Y51,SURFACE CAR PARK,"[103.84706514402708, 1.4215023854811013]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29529.8300,44808.1062
,,,,,,1578,BLK 144/149 YISHUN STREET 11,N,0,Y5,SURFACE CAR PARK,"[103.83210724989652, 1.4311138650637654]",SUN & PH FR 7AM-10.30PM,0.00,,,,,NO,,,,,,,7AM-10.30PM,,Point,ELECTRONIC PARKING,27865.2344,45870.8907
,,,,,,1577,BLK 419A YISHUN AVENUE 11,N,8,Y49M,MULTI-STOREY CAR PARK,"[103.84750829052109, 1.4243927821017213]",NO,1.90,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29579.1438,45127.7120
,,,,,,1576,BLK 418/419 YISHUN AVE 11,N,0,Y49L,SURFACE CAR PARK,"[103.8472645226792, 1.4239680301282396]",NO,1.90,,,,,NO,,,,,,,7AM-10.30PM,,Point,ELECTRONIC PARKING,29552.0163,45080.7449
,,,,,,1575,BLK 401/414 YISHUN RING ROAD/AVENUE 6,N,0,Y49,SURFACE CAR PARK,"[103.84781496580754, 1.4260605898710865]",SUN & PH FR 7AM-10.30PM,0.00,,,,,NO,,,,,,,7AM-10.30PM,,Point,ELECTRONIC PARKING,29613.2711,45312.1300
,,,,,,1574,BLK 385 YISHUN RING/AVENUE 6,N,8,Y48M,MULTI-STOREY CAR PARK,"[103.8475291621854, 1.4283664589353013]",SUN & PH FR 7AM-10.30PM,1.90,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29581.4638,45567.1012
,,,,,,1573,BLK 386-399 YISHUN RING ROAD/AVENUE 6,N,0,Y48,SURFACE CAR PARK,"[103.84781744517427, 1.4293871962690559]",SUN & PH FR 7AM-10.30PM,0.00,,,,,NO,,,,,,,7AM-10.30PM,,Point,ELECTRONIC PARKING,29613.5447,45679.9694
,,,,,,1572,BLK 360-367 YISHUN RING ROAD,N,0,Y47,SURFACE CAR PARK,"[103.84555100791685, 1.4291064624451815]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,COUPON PARKING,29361.3242,45648.9258
,,,,,,1571,BLK 349-359 YISHUN RING ROAD,N,0,Y46,SURFACE CAR PARK,"[103.84576345858748, 1.4260845856675854]",SUN & PH FR 7AM-10.30PM,3.80,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29384.9686,45314.7820
,,,,,,1570,BLK 347 YISHUN AVE 11,N,2,Y45M,MULTI-STOREY CAR PARK,"[103.84262950340216, 1.4275019584402937]",SUN & PH FR 7AM-10.30PM,2.15,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29036.2050,45471.5063
,,,,,,1569,BLK 343-346 YISHUN AVENUE 11,N,0,Y45,SURFACE CAR PARK,"[103.84315880142546, 1.42712778021326]",SUN & PH FR 7AM-10.30PM,3.80,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,29095.1082,45430.1318
,,,,,,1568,BLK 320-332 YISHUN CENTRAL/RING ROAD,N,0,Y43,SURFACE CAR PARK,"[103.8410985979748, 1.428898807443978]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28865.8374,45625.9622
,,,,,,1567,BLK 307 YISHUN RING ROAD/CENTRAL,N,9,Y41M,MULTI-STOREY CAR PARK,"[103.84088449810567, 1.4307496420668016]",SUN & PH FR 7AM-10.30PM,1.90,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28842.0106,45830.6181
,,,,,,1566,BLK 302-314 YISHUN CENTRAL/RING ROAD,N,0,Y41,SURFACE CAR PARK,"[103.83993122517462, 1.4301347400337745]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28735.9258,45762.6250
,,,,,,1565,BLK 865/880 YISHUN STREET 81,N,0,Y40,SURFACE CAR PARK,"[103.83671784936628, 1.4148470300665208]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28378.3276,44072.1863
,,,,,,1564,BLK 137 YISHUN RING RD,N,0,Y4T,SURFACE CAR PARK,"[103.83020874874146, 1.4324465663138224]",NO,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,COUPON PARKING,27653.9599,46018.2543
,,,,,,1563,BLK 121/143 YISHUN STREET 11/RING ROAD,N,0,Y4,SURFACE CAR PARK,"[103.83154051659959, 1.4347534360960879]",SUN & PH FR 7AM-10.30PM,9.99,,,,,NO,,,,,,,7AM-10.30PM,,Point,ELECTRONIC PARKING,27802.1658,46273.3362
,,,,,,1562,"BLK 662/666,666A TO 666B YISHUN AVENUE 4",N,0,Y39,MECHANISED AND SURFACE CAR PARK,"[103.84052640682079, 1.4200493150515692]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28802.1641,44647.4297
,,,,,,1561,BLK 650/661 YISHUN AVENUE 4,N,0,Y38,SURFACE CAR PARK,"[103.84011076360777, 1.422588953686124]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,COUPON PARKING,28755.9082,44928.2500
,,,,,,1560,BLK 644/647 YISHUN STREET 61,N,0,Y37,SURFACE CAR PARK,"[103.8371779201362, 1.422111022256033]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28429.5256,44875.4020
,,,,,,1559,BLK 642/643 YISHUN STREET 61,N,0,Y36,SURFACE CAR PARK,"[103.83798935086645, 1.4213031723910685]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28519.8262,44786.0742
,,,,,,1558,BLK 632/641 YISHUN STREET 61,N,0,Y35,SURFACE CAR PARK,"[103.8384736027953, 1.4196937925051833]",SUN & PH FR 7AM-10.30PM,4.50,,,,,NO,,,,,,,7AM-10.30PM,,Point,COUPON PARKING,28573.7168,44608.1172
,,,,,,1557,BLK 614-618 YISHUN STREET 61,N,0,Y34A,SURFACE CAR PARK,"[103.83606527251655, 1.4192686027069505]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28305.7045,44561.1014
,,,,,,1556,BLK 606-631 YISHUN STREET 61/RING ROAD,N,0,Y34,SURFACE CAR PARK,"[103.83617533090712, 1.4208175337537667]",SUN & PH FR 7AM-10.30PM,0.00,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28317.9522,44732.3744
,,,,,,1555,BLK 602-605 YISHUN STREET 61,N,0,Y33,SURFACE CAR PARK,"[103.8361094731562, 1.4222290396672344]",SUN & PH FR 7AM-10.30PM,4.50,,,,,YES,,,,,,,WHOLE DAY,,Point,ELECTRONIC PARKING,28310.6230,44888.4516
