geometry,price,id,name,source,source_updated_at,updated_at,address,has_free,free_time,grace_period,basement,decks,building_type,gantry_height,night_parking,short_term_parking,payment_method,raw
"{""type""=>""Point"", ""coordinates""=>[103.83401223253604, 1.4278302468527002]}","",Y9,BLK 747/752 YISHUN STREET 72,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 747/752 YISHUN STREET 72,true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""45507.8047"", ""x_coord""=>""28077.2305"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 747/752 YISHUN STREET 72"", ""car_park_decks""=>""0"", ""_id""=>1611, ""car_park_no""=>""Y9"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.83127773707048, 1.4294442524027169]}","",Y8,"BLK 731/746 YISHUN STREET 71,72/AVENUE 5",HDB,2019-04-09,2019-04-09T00:00:00+00:00,"BLK 731/746 YISHUN STREET 71,72/AVENUE 5",true,SUN & PH FR 7AM-10.30PM,"",N,0,SURFACE CAR PARK,4.50,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""SURFACE CAR PARK"", ""y_coord""=>""45686.2734"", ""x_coord""=>""27772.9219"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""4.50"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 731/746 YISHUN STREET 71,72/AVENUE 5"", ""car_park_decks""=>""0"", ""_id""=>1610, ""car_park_no""=>""Y8"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8518042513747, 1.4247433733347608]}","",Y78M,BLK 468 YISHUN ST 43,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 468 YISHUN ST 43,false,NO,"",N,4,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""45166.4820"", ""x_coord""=>""30057.2209"", ""free_parking""=>""NO"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 468 YISHUN ST 43"", ""car_park_decks""=>""4"", ""_id""=>1609, ""car_park_no""=>""Y78M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84994357684783, 1.4284470332223747]}","",Y77M,BLK 461 YISHUN AVENUE 6,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 461 YISHUN AVENUE 6,false,NO,"",N,10,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""45576.0125"", ""x_coord""=>""29850.1522"", ""free_parking""=>""NO"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 461 YISHUN AVENUE 6"", ""car_park_decks""=>""10"", ""_id""=>1608, ""car_park_no""=>""Y77M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84176923640506, 1.4216632358972499]}","",Y76M,BLOCK 676 YISHUN RING ROAD,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLOCK 676 YISHUN RING ROAD,true,SUN & PH FR 7AM-10.30PM,"",N,14,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44825.8894"", ""x_coord""=>""28940.4724"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLOCK 676 YISHUN RING ROAD"", ""car_park_decks""=>""14"", ""_id""=>1607, ""car_park_no""=>""Y76M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84308320870863, 1.4201757347894195]}","",Y75M,BLOCK 674 YISHUN AVENUE 4,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLOCK 674 YISHUN AVENUE 4,true,SUN & PH FR 7AM-10.30PM,"",N,13,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44661.4096"", ""x_coord""=>""29086.6991"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLOCK 674 YISHUN AVENUE 4"", ""car_park_decks""=>""13"", ""_id""=>1606, ""car_park_no""=>""Y75M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84168989706856, 1.4196270699431162]}","",Y74M,BLOCK 673 YISHUN AVENUE 4,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLOCK 673 YISHUN AVENUE 4,true,SUN & PH FR 7AM-10.30PM,"",N,14,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44600.7404"", ""x_coord""=>""28931.6439"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLOCK 673 YISHUN AVENUE 4"", ""car_park_decks""=>""14"", ""_id""=>1605, ""car_park_no""=>""Y74M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8415626074657, 1.4191345429725588]}","",Y73M,BLOCK 671 YISHUN AVENUE 4,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLOCK 671 YISHUN AVENUE 4,true,SUN & PH FR 7AM-10.30PM,"",N,14,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44546.2792"", ""x_coord""=>""28917.4786"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLOCK 671 YISHUN AVENUE 4"", ""car_park_decks""=>""14"", ""_id""=>1604, ""car_park_no""=>""Y73M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.8412468051513, 1.4147856976689364]}","",Y72M,512 YISHUN STREET 51,HDB,2019-04-09,2019-04-09T00:00:00+00:00,512 YISHUN STREET 51,true,SUN & PH FR 7AM-10.30PM,"",N,14,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44065.4057"", ""x_coord""=>""28882.3360"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""512 YISHUN STREET 51"", ""car_park_decks""=>""14"", ""_id""=>1603, ""car_park_no""=>""Y72M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
"{""type""=>""Point"", ""coordinates""=>[103.84090767331276, 1.4165790931697901]}","",Y71M,BLK 501 YISHUN ST 51,HDB,2019-04-09,2019-04-09T00:00:00+00:00,BLK 501 YISHUN ST 51,true,SUN & PH FR 7AM-10.30PM,"",N,7,MULTI-STOREY CAR PARK,2.15,YES,WHOLE DAY,ELECTRONIC PARKING,"{""short_term_parking""=>""WHOLE DAY"", ""car_park_type""=>""MULTI-STOREY CAR PARK"", ""y_coord""=>""44263.7102"", ""x_coord""=>""28844.5948"", ""free_parking""=>""SUN & PH FR 7AM-10.30PM"", ""gantry_height""=>""2.15"", ""car_park_basement""=>""N"", ""night_parking""=>""YES"", ""address""=>""BLK 501 YISHUN ST 51"", ""car_park_decks""=>""7"", ""_id""=>1602, ""car_park_no""=>""Y71M"", ""type_of_parking_system""=>""ELECTRONIC PARKING""}"
